iter	RMSE
0	0.6960038839
1	0.6922520137
2	0.6885436492
3	0.6849609716
4	0.6813440214
5	0.6778711334
6	0.6741350417
7	0.6704846895
8	0.6673783074
9	0.6638912318
10	0.6604521624
11	0.6569203127
12	0.653413544
13	0.6503912686
14	0.6472048753
15	0.6439092466
16	0.640600852
17	0.6374203414
18	0.6343111218
19	0.6311807594
20	0.6281031349
21	0.6251084667
22	0.622143201
23	0.6190791015
24	0.6160764211
25	0.6132270118
26	0.6103524185
27	0.6076382858
28	0.6049807319
29	0.602280167
30	0.5994632827
31	0.5967456059
32	0.5939843629
33	0.5913366367
34	0.5886514477
35	0.5860046609
36	0.5834228561
37	0.5807447949
38	0.5781739293
39	0.5756327271
40	0.5732748123
41	0.5707848926
42	0.5684361413
43	0.566309512
44	0.5639096237
45	0.5617143102
46	0.5594521886
47	0.5571230094
48	0.5547091887
49	0.5524054321
50	0.5502933028
51	0.5480518812
52	0.5458777239
53	0.5437042891
54	0.5416131698
55	0.5396432304
56	0.5375420751
57	0.5354988551
58	0.5332584173
59	0.5311442823
60	0.5291976683
61	0.5272729038
62	0.5255016949
63	0.5235504894
64	0.5216025585
65	0.5195601705
66	0.5177407719
67	0.5158079203
68	0.5139605383
69	0.5121844576
70	0.5103397953
71	0.5084586527
72	0.5066856784
73	0.5049232081
74	0.5032078106
75	0.5016429161
76	0.5000246277
77	0.4982736251
78	0.4966093483
79	0.495047613
80	0.4934636733
81	0.4918172383
82	0.4903097104
83	0.4888006134
84	0.4874093516
85	0.4858499441
86	0.4843267427
87	0.4827992849
88	0.4813331678
89	0.4797517107
90	0.4783690514
91	0.4769323528
92	0.4755809052
93	0.4740576321
94	0.4726412158
95	0.4711430304
96	0.4698961153
97	0.4686767761
98	0.4673136668
99	0.4659010514
100	0.4645086781
101	0.4633254977
102	0.4620757925
103	0.4609360279
104	0.4597449133
105	0.4584310662
106	0.4572461454
107	0.4559879593
108	0.4547794649
109	0.4534830967
110	0.4521810416
111	0.4511380353
112	0.4499896252
113	0.4488152771
114	0.4477176712
115	0.4466137881
116	0.4455110521
117	0.4444132787
118	0.4432566632
119	0.4421762972
120	0.4412192617
121	0.4401558763
122	0.4390738872
123	0.4379871581
124	0.4368752386
125	0.4359114058
126	0.4348898077
127	0.4337884511
128	0.4328459356
129	0.4317949149
130	0.4306580025
131	0.4297004842
132	0.4286415995
133	0.4277290509
134	0.4267929661
135	0.4259581568
136	0.4250091296
137	0.424089611
138	0.4231171507
139	0.4220719491
140	0.4211877052
141	0.4202611194
142	0.4194262922
143	0.4186090573
144	0.4177742556
145	0.4170674941
146	0.4162617438
147	0.4154716847
148	0.4146134635
149	0.4138282237
150	0.4130107746
151	0.4122518061
152	0.4114260375
153	0.4107151072
154	0.4099390723
155	0.4092200322
156	0.4083421887
157	0.4076517124
158	0.4068662186
159	0.4060904028
160	0.4054224457
161	0.4046450629
162	0.4039504841
163	0.4032138403
164	0.4025419205
165	0.4018151688
166	0.4010465463
167	0.4002932582
168	0.3995005316
169	0.3989135333
170	0.3981613153
171	0.3975092219
172	0.3968766556
173	0.3963114613
174	0.3957354786
175	0.3949707031
176	0.3943214628
177	0.3937584583
178	0.3931068831
179	0.3924798828
180	0.3918520012
181	0.3912793374
182	0.3906393309
183	0.3900837888
184	0.3894925882
185	0.3889259308
186	0.388404976
187	0.387827653
188	0.3871940559
189	0.3865916782
190	0.3859868001
191	0.3853959302
192	0.3849142906
193	0.3842890016
194	0.3837424712
195	0.3831836355
196	0.3827041893
197	0.3822178879
198	0.3816290064
199	0.3810818131
200	0.3805824818
201	0.3799605995
202	0.3793586843
203	0.3788514577
204	0.3782801933
205	0.3778184003
206	0.3772866803
207	0.3768588387
208	0.3762269512
209	0.3757077514
210	0.3750957481
211	0.3746340876
212	0.3740669363
213	0.3736307394
214	0.3731053213
215	0.3726582453
216	0.3721680311
217	0.3716892861
218	0.3712242895
219	0.3707177572
220	0.3702664826
221	0.3697787167
222	0.3693369923
223	0.3688169929
224	0.3682779125
225	0.3678903961
226	0.3675071287
227	0.3671413339
228	0.3667106262
229	0.3662618994
230	0.3656957797
231	0.3652288726
232	0.3647867583
233	0.3644146567
234	0.363961715
235	0.3636305798
236	0.3632535798
237	0.3629063263
238	0.3625076765
239	0.3621940853
240	0.3618378531
241	0.3615058041
242	0.3611037025
243	0.360763863
244	0.360335803
245	0.3598558204
246	0.3594797777
247	0.3591571324
248	0.3588332298
249	0.3584289937
250	0.357992777
251	0.3576411151
252	0.3572402987
253	0.3568719951
254	0.356575063
255	0.3562136611
256	0.3558121705
257	0.355379693
258	0.3550052363
259	0.3544901255
260	0.35410472
261	0.3538280282
262	0.353524264
263	0.353114496
264	0.3527921013
265	0.3525324254
266	0.3522017692
267	0.3518420219
268	0.3514452057
269	0.3511573088
270	0.3509207279
271	0.3505719117
272	0.3501698429
273	0.3498330433
274	0.3494927148
275	0.3491621994
276	0.3487916334
277	0.3484319557
278	0.3479573311
279	0.3477162534
280	0.3474144749
281	0.3471180095
282	0.3469129316
283	0.3466703081
284	0.3463000919
285	0.3459506815
286	0.3455972928
287	0.3453832158
288	0.3450955823
289	0.3447127875
290	0.3444238281
291	0.3442050282
292	0.3438032749
293	0.3435133169
294	0.3432547799
295	0.3428970886
296	0.3425954783
297	0.342289282
298	0.3419633467
299	0.3415985134
