iter	Passed	Remaining
0	14	4200
1	27	4029
2	39	3899
3	52	3885
4	64	3811
5	77	3812
6	98	4128
7	116	4260
8	135	4384
9	149	4328
10	163	4306
11	176	4225
12	188	4154
13	200	4095
14	212	4038
15	225	4005
16	238	3967
17	250	3921
18	262	3876
19	273	3833
20	286	3800
21	297	3760
22	309	3733
23	321	3701
24	334	3675
25	346	3655
26	359	3631
27	372	3618
28	384	3592
29	396	3570
30	409	3550
31	422	3534
32	434	3514
33	445	3486
34	457	3467
35	469	3444
36	481	3421
37	493	3401
38	506	3386
39	517	3365
40	530	3348
41	542	3334
42	555	3322
43	568	3307
44	581	3297
45	595	3290
46	609	3278
47	623	3275
48	638	3271
49	652	3264
50	665	3250
51	678	3236
52	690	3219
53	703	3206
54	716	3190
55	728	3172
56	741	3159
57	753	3144
58	765	3127
59	777	3109
60	788	3091
61	801	3077
62	813	3060
63	825	3043
64	838	3029
65	849	3013
66	871	3030
67	884	3016
68	896	2999
69	908	2984
70	920	2968
71	933	2954
72	946	2944
73	960	2931
74	973	2919
75	986	2906
76	999	2893
77	1011	2879
78	1024	2864
79	1036	2851
80	1049	2836
81	1061	2822
82	1074	2808
83	1087	2795
84	1099	2781
85	1111	2766
86	1124	2752
87	1136	2738
88	1149	2725
89	1162	2712
90	1175	2698
91	1187	2684
92	1199	2669
93	1211	2654
94	1223	2641
95	1236	2628
96	1248	2613
97	1260	2598
98	1273	2585
99	1286	2573
100	1300	2562
101	1312	2547
102	1324	2533
103	1336	2519
104	1349	2505
105	1360	2490
106	1372	2476
107	1384	2461
108	1396	2447
109	1408	2433
110	1420	2419
111	1433	2405
112	1445	2391
113	1458	2379
114	1471	2366
115	1483	2353
116	1496	2340
117	1508	2326
118	1520	2312
119	1532	2299
120	1545	2286
121	1558	2273
122	1571	2261
123	1583	2247
124	1596	2234
125	1608	2221
126	1620	2207
127	1633	2194
128	1645	2181
129	1657	2167
130	1669	2153
131	1681	2140
132	1693	2126
133	1705	2113
134	1719	2101
135	1732	2088
136	1744	2076
137	1757	2063
138	1771	2051
139	1784	2038
140	1796	2026
141	1810	2013
142	1822	2000
143	1834	1987
144	1847	1974
145	1860	1962
146	1872	1949
147	1884	1935
148	1896	1922
149	1908	1908
150	1920	1895
151	1932	1881
152	1944	1867
153	1956	1855
154	1968	1841
155	1980	1828
156	1993	1815
157	2005	1802
158	2017	1788
159	2029	1775
160	2041	1762
161	2053	1749
162	2064	1735
163	2076	1722
164	2088	1708
165	2101	1696
166	2114	1683
167	2126	1671
168	2143	1661
169	2155	1648
170	2167	1635
171	2180	1622
172	2192	1609
173	2204	1596
174	2217	1583
175	2229	1570
176	2240	1557
177	2252	1544
178	2264	1530
179	2277	1518
180	2289	1505
181	2301	1491
182	2313	1478
183	2325	1466
184	2338	1453
185	2349	1440
186	2362	1427
187	2374	1414
188	2387	1402
189	2400	1389
190	2415	1378
191	2430	1367
192	2445	1355
193	2460	1344
194	2474	1332
195	2487	1320
196	2500	1307
197	2513	1294
198	2525	1281
199	2538	1269
200	2551	1256
201	2564	1244
202	2576	1231
203	2588	1218
204	2600	1205
205	2612	1191
206	2624	1179
207	2636	1166
208	2648	1153
209	2660	1140
210	2672	1127
211	2684	1114
212	2697	1101
213	2709	1088
214	2721	1075
215	2733	1062
216	2745	1049
217	2757	1037
218	2769	1024
219	2781	1011
220	2793	998
221	2805	985
222	2817	972
223	2829	959
224	2842	947
225	2854	934
226	2866	921
227	2878	909
228	2890	896
229	2903	883
230	2915	870
231	2927	858
232	2938	844
233	2950	832
234	2962	819
235	2975	806
236	2986	793
237	2998	781
238	3010	768
239	3022	755
240	3034	742
241	3046	730
242	3059	717
243	3071	704
244	3083	692
245	3095	679
246	3107	666
247	3119	654
248	3131	641
249	3143	628
250	3155	616
251	3168	603
252	3181	591
253	3194	578
254	3206	565
255	3218	553
256	3231	540
257	3242	527
258	3254	515
259	3266	502
260	3278	489
261	3290	477
262	3302	464
263	3314	451
264	3326	439
265	3338	426
266	3350	414
267	3362	401
268	3373	388
269	3386	376
270	3398	363
271	3411	351
272	3425	338
273	3438	326
274	3450	313
275	3464	301
276	3476	288
277	3488	276
278	3501	263
279	3514	251
280	3527	238
281	3539	225
282	3551	213
283	3563	200
284	3574	188
285	3587	175
286	3598	163
287	3610	150
288	3623	137
289	3634	125
290	3646	112
291	3658	100
292	3671	87
293	3682	75
294	3694	62
295	3706	50
296	3717	37
297	3729	25
298	3741	12
299	3752	0
